"res_type","state_fips","station_id","direct_of_travel","lane_of_travel","year","func_class_code","num_lanes_direc_indicated","sample_type_for_traffic_vol","num_lanes_monitored_for_traffic_vol","method_of_traffic_vol_counting","sample_type_for_vehicle_class","num_lanes_monitored_for_vehicle_class","method_of_vehicle_class","alg_for_vehicle_class","class_sys_for_vehicle_class","sample_type_for_truck_weight","num_lanes_monitored_for_truck_weight","method_of_truck_weighing","calibration_of_weighing_sys","method_of_data_retrieval","type_of_sensor","second_type_of_sensor","primary_purpose","lrs_identification","lrs_location_point","latitude","longitude","shrp_site_identification","prev_station_id","year_station_established","year_station_discontinued","fips_county_code","hpms_sample_type","hpms_sample_identifier","national_highway_sys","posted_route_sign","posted_sign_route_num","concurrent_route_signing","concurrent_signed_route_num","station_location"
S,37,0W0301,3,2,13,14,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000007403,030724,34962000,079980600,0301,      ,04,11,007,Y,000000100512,Y,2,00000074,0,00000000,0.30 MILES WEST OF SR 1740 (APPLE ORCHARD RD)     
S,37,0W0301,7,3,13,14,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000007403,030724,34962000,079980600,0301,      ,04,11,007,Y,000000100512,Y,2,00000074,0,00000000,0.30 MILES WEST OF SR 1740 (APPLE ORCHARD RD)     
S,37,0W0301,7,4,13,14,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000007403,030724,34962000,079980600,0301,      ,04,11,007,Y,000000100512,Y,2,00000074,0,00000000,0.30 MILES WEST OF SR 1740 (APPLE ORCHARD RD)     
S,37,0W6601,1,2,13,09,1, ,1, , ,1, , ,  , ,1, , ,2,P,L,P,004000124566,000060,34805800,077663700,0800,      ,00,07,133,N,            ,N,3,00001245,0,00000000,0.05 MILES NORTH OF SR 1209 (CYPRESS CREEK RD)    
S,37,0W6601,5,1,13,09,1, ,1, , ,1, , ,  , ,1, , ,2,P,L,P,004000124566,000060,34805800,077663700,0800,      ,00,07,133,N,            ,N,3,00001245,0,00000000,0.05 MILES NORTH OF SR 1209 (CYPRESS CREEK RD)    
S,37,0W5201,1,3,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000000152,030983,35586600,079123300,0900,      ,04,09,105,N,            ,Y,2,00000001,0,00000000,0.10 MILES SOUTH OF SR 1423 (FARRELL RD)          
S,37,0W5201,1,4,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000000152,030983,35586600,079123300,0900,      ,04,09,105,N,            ,Y,2,00000001,0,00000000,0.10 MILES SOUTH OF SR 1423 (FARRELL RD)          
S,37,0W5201,5,1,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000000152,030983,35586600,079123300,0900,      ,04,09,105,N,            ,Y,2,00000001,0,00000000,0.10 MILES SOUTH OF SR 1423 (FARRELL RD)          
S,37,0W5201,5,2,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000000152,030983,35586600,079123300,0900,      ,04,09,105,N,            ,Y,2,00000001,0,00000000,0.10 MILES SOUTH OF SR 1423 (FARRELL RD)          
S,37,0W1003,3,1,13,11,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000024010,012791,35573600,082514900,1003,      ,03,07,021,N,            ,Y,1,00000240,0,00000000,0.90 MILES EAST OF US 70 (TUNNEL RD)              
